,행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
28,부산광역시 서구 (2614000000),107973,107844,107669,107722,107868,107947,107934,107768,107689,107996,108119,108135,107978,107824,106451,106545,106556,106422,106314,105996,105813,105557,105406,105164,104863,104618,104323,103961,103810,104340,104755,105386,105380,105358,105286,105192,104299,104304,104251,104268,104192,104089,103889,103694,103525,103289
29,부산광역시 동구 (2617000000),88292,88439,89289,89673,89710,89698,89721,89665,89410,89205,89031,88901,88763,88639,88218,88159,88080,87916,87764,87585,87595,87705,87770,87679,87906,88245,88283,88257,88222,88087,87851,87701,87103,86948,86670,86462,87721,88027,88069,88008,87910,87792,87619,87460,87275,87170
30,부산광역시 영도구 (2620000000),116447,116155,115886,115645,115388,115120,114873,114511,114252,113909,113621,113342,113048,112809,111507,111387,111574,111685,111580,111386,111210,111111,110901,110638,110425,109991,109660,109407,109460,109395,109327,109131,108699,108505,108294,108156,107143,107103,107003,106816,106701,106548,106335,106233,106108,105864
31,부산광역시 부산진구 (2623000000),357284,356811,356661,356978,357190,357242,357695,357768,357558,358317,359375,359886,359978,360025,357645,357193,356706,356091,355589,355138,354924,354428,353769,353159,352462,351764,351154,351022,350977,350999,351436,351682,351125,353568,355302,355917,357296,357196,358316,359329,359712,359508,360053,360881,361264,361320
32,부산광역시 동래구 (2626000000),271562,271528,272319,272570,272532,272476,272554,272182,271980,271633,271187,270745,270695,270678,269497,268996,268616,268391,267994,267672,267425,266912,266570,266866,270338,273802,274134,273976,273996,274491,274769,274638,274136,273790,273447,273226,272376,272176,271877,271670,271504,270815,269784,269350,269036,268872
33,부산광역시 남구 (2629000000),273707,272927,272381,271674,271183,270606,270125,269626,269251,268711,268249,267731,267351,266989,265759,265194,264679,264098,263764,263333,263262,263236,262856,262069,261209,260624,260581,260617,260261,259735,259135,258660,257934,257147,256647,256333,255392,255095,254599,254455,254469,254185,254348,255107,255470,255629
34,부산광역시 북구 (2632000000),290908,290230,289575,289059,288986,288376,287736,286865,286327,285507,284872,283952,283452,282799,281851,282073,283138,283612,283696,283901,283937,283766,283584,283211,282535,281749,281198,280852,280647,280511,280268,280116,279964,279770,279303,278857,276316,275670,274961,274481,274072,273596,272932,272315,271932,271525
35,부산광역시 해운대구 (2635000000),406312,405708,405155,405268,404459,403923,403878,403118,402749,402820,402518,402169,401710,401280,400083,399821,399222,399015,398645,398117,397918,397516,397071,396438,395788,394792,393809,393130,392110,391311,390782,389841,388393,387840,387297,386785,383042,382448,382115,381466,381031,380448,379702,378753,378063,377664
36,부산광역시 사하구 (2638000000),320254,319542,318866,318196,317747,317258,316705,315748,314728,313677,312840,311757,311052,310740,309302,308684,308036,307559,306866,306885,306843,306605,306421,306003,305922,306098,305762,305556,305393,305008,304583,304029,303143,302844,302450,301987,300440,299844,299416,298815,298339,297831,296935,296253,295755,295217
37,부산광역시 금정구 (2641000000),238556,238208,237508,236904,236596,236009,235155,234640,234135,233601,233303,232666,231959,231743,230605,230204,229704,229222,229228,229240,229350,229148,228936,228049,226875,226029,225608,225033,224746,224173,223713,223430,222783,222264,221647,221256,218300,217839,217429,216770,216290,215590,214642,214168,213976,213602
38,부산광역시 강서구 (2644000000),130298,130748,131140,131235,131557,131779,131979,133354,135330,136485,137229,137957,138610,139088,139239,139652,140215,140720,141226,141688,142104,142444,142768,142918,143098,143227,143429,143638,143914,144047,144071,143925,143727,143611,143360,143207,142970,142890,142886,142777,142704,142396,142109,141783,141775,142103
39,부산광역시 연제구 (2647000000),209980,210509,210326,210086,209873,209514,209345,210146,210362,210191,209688,209157,208900,208743,207419,206979,206547,206239,205936,205700,205676,205607,205742,207144,207342,207178,206932,206677,206506,206145,205895,205515,204869,204377,203871,203536,203027,202918,202884,203004,203008,205766,209331,210999,211435,211851
40,부산광역시 수영구 (2650000000),176112,176879,176967,176984,176886,176975,176742,176937,177266,177085,176885,176894,176742,176703,176145,176276,176062,175877,175722,175815,175799,175583,175389,175095,174867,174838,174661,174633,174665,174739,174709,174596,174275,174694,174907,174806,175413,175455,175150,174994,174744,174518,174086,173944,173738,173501
41,부산광역시 사상구 (2653000000),217594,217250,216840,216507,216083,215709,215332,214826,214345,213747,213178,212586,212173,212038,211252,210943,210579,210333,210005,209547,209410,209138,208727,208298,207772,207138,206804,206365,206099,205765,205287,204769,203957,203331,203496,203789,202889,203534,203749,203445,203139,202932,202376,202062,201853,201614
42,부산광역시 기장군 (2671000000),164710,166321,167586,168132,169142,170139,171369,172288,172774,173167,173918,174545,175428,176112,176056,176287,176411,176617,176786,176811,176789,176879,177161,177125,176935,176721,176570,176505,176824,177536,177672,177728,178221,178303,178459,178614,179277,179181,179175,179084,178958,178729,178347,177912,177624,177341
43,대구광역시  (2700000000),2436488,2432883,2433568,2431523,2429059,2427954,2428022,2428228,2426849,2424171,2421859,2418346,2415813,2413191,2408875,2406296,2402940,2397646,2395749,2393626,2392787,2390721,2388230,2385412,2383858,2381095,2380494,2378573,2376676,2375306,2374120,2371936,2367735,2366852,2365619,2363691,2379086,2378464,2377801,2376978,2376044,2374960,2373844,2372008,2369962,2368670
44,대구광역시 중구 (2711000000),77282,77151,77136,76955,76880,76984,77062,77120,77030,76849,76727,76547,76382,76159,75647,75366,75133,74727,74433,74125,74032,74682,74793,74791,74786,74710,75704,77842,78703,78984,79014,78923,78768,79241,79722,80199,85296,86210,86714,87387,87998,89064,89685,90242,90561,90953
