,행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
161,충청북도 영동군 (4374000000),48523,48364,48174,47963,47832,47736,47702,47706,47679,47603,47561,47475,47230,47023,46577,46497,46442,46316,46261,46139,45976,45938,45874,45773,45692,45548,45536,45509,45457,45345,45321,45281,45217,45126,45044,44956,44601,44436,44424,44353,44267,44195,44120,44004,43975,43909
162,충청북도 증평군 (4374500000),37424,37419,37341,37320,37302,37178,37166,37136,37122,37011,36960,36807,36807,36685,36536,36532,36536,36499,36470,36406,36388,36371,36351,36426,36583,36729,36822,36916,37003,37024,37112,37184,37213,37247,37273,37262,37410,37407,37427,37435,37444,37484,37499,37465,37400,37387
163,충청북도 진천군 (4375000000),81225,81301,81404,81483,81584,81742,81865,81949,82362,83090,83621,83718,83849,84116,84118,84437,84623,84746,84845,84904,84917,85051,85104,85176,85458,85557,85596,85625,85671,85817,85914,85921,85947,86082,86120,86147,85803,85754,85758,85751,85902,86254,86065,85958,86370,86626
164,충청북도 괴산군 (4376000000),38451,38185,37896,37694,37566,37493,37357,37354,37368,37447,37671,39393,38338,38009,37688,37567,37442,37337,37229,37101,36880,36843,36887,38122,37525,37405,37323,37301,37323,37262,37163,37110,37005,37031,37018,37055,36711,36625,36570,36527,36545,36590,36438,36381,36319,36264
165,충청북도 음성군 (4377000000),95006,94909,94709,94461,94336,94288,94315,94179,93813,93579,93310,93153,92945,92733,92407,92349,92213,92232,92231,92224,92027,92004,92086,92197,92113,92171,92155,92175,92186,92240,92311,92277,92199,92133,92035,92058,91698,91546,91425,91339,91227,91183,90976,90876,90542,90283
166,충청북도 단양군 (4380000000),29664,29592,29546,29451,29392,29387,29337,29268,29270,29265,29239,29155,29049,28943,28835,28758,28766,28652,28578,28513,28441,28405,28353,28331,28263,28155,28128,28129,28065,28018,28014,27959,27863,27862,27806,27767,27715,27728,27747,27737,27696,27701,27680,27655,27620,27628
167,충청남도  (4400000000),2122455,2120995,2119749,2118457,2118510,2119771,2120692,2120519,2120559,2120347,2120607,2121029,2119837,2119542,2115823,2116452,2117260,2117400,2118205,2118183,2118098,2118977,2119529,2119257,2118638,2118912,2119099,2119296,2119661,2120201,2121011,2121082,2120269,2121333,2122357,2123037,2126640,2127077,2127630,2128563,2129591,2130119,2130509,2131309,2132745,2133828
168,충청남도 천안시 (4413000000),652845,653816,654259,654251,655192,657514,658280,658212,658670,658911,658977,658808,658488,658295,657549,657410,657775,657503,657584,657250,657703,658107,658465,658486,658150,656925,656702,657080,657241,657214,657418,657612,657210,657701,657821,657559,658694,657839,657594,657326,656583,655959,655791,656478,657089,657633
169,충청남도 천안시 동남구 (4413100000),259416,259558,259474,259211,258857,258996,259219,258942,258685,258556,258269,258009,257683,257397,256931,256797,256482,256047,255891,255532,255494,255504,255471,255292,255273,255083,254934,254867,255332,255635,255838,255997,255655,255724,255640,255647,257902,257591,257373,257234,256942,256691,257698,259111,259709,260094
170,충청남도 천안시 서북구 (4413300000),393429,394258,394785,395040,396335,398518,399061,399270,399985,400355,400708,400799,400805,400898,400618,400613,401293,401456,401693,401718,402209,402603,402994,403194,402877,401842,401768,402213,401909,401579,401580,401615,401555,401977,402181,401912,400792,400248,400221,400092,399641,399268,398093,397367,397380,397539
171,충청남도 공주시 (4415000000),106294,106098,105895,105743,105611,105440,105396,105353,105192,104972,104736,104545,104442,104319,103839,103782,103752,103640,103572,103386,103329,103321,103301,103145,103021,102960,103214,103174,103090,102997,102922,102917,102848,102768,102651,102571,102692,102537,102453,102295,102184,102104,101906,101772,102138,102098
172,충청남도 보령시 (4418000000),100908,100836,100787,100646,100602,100647,100601,100538,100415,100336,100249,100229,99964,99673,99234,99137,99048,98993,98922,98726,98620,98535,98438,98408,98142,97967,97959,97932,97842,97779,97704,97532,97402,97268,97188,97157,96486,96334,96171,96068,95925,95772,95564,95260,94994,94887
173,충청남도 아산시 (4420000000),314238,313875,313733,313757,313761,313054,313319,313871,314282,314552,315279,316129,316740,317626,317933,318699,319225,320340,321170,322158,322893,323789,324552,324580,325412,327717,328576,329043,329684,330516,331190,331806,332361,332790,333602,334539,337876,339517,340566,341953,343978,345796,347243,348532,349588,350535
174,충청남도 서산시 (4421000000),174663,174596,174629,174645,174801,174884,175124,175272,175330,175426,175487,175591,175543,175623,175650,175817,176031,176090,176205,176360,176491,176595,176610,176645,176630,176559,176452,176435,176407,176416,176477,176512,176291,176312,176440,176413,176162,176125,176051,176052,176079,176011,175894,175750,175650,175646
175,충청남도 논산시 (4423000000),118781,118513,118266,118032,117812,117696,117520,117340,117226,117030,116888,116675,116587,116315,115573,115520,115431,115305,115239,115155,114942,114769,114662,114483,114430,114340,114043,113871,113659,113552,113473,113323,113018,112939,112842,112617,111407,111110,110976,110833,110704,110423,110336,110051,109865,109766
176,충청남도 계룡시 (4425000000),42735,42648,42663,42757,42696,42803,42772,42802,42811,42767,42848,42822,42809,43128,43182,43235,43242,43168,43209,43279,43191,43093,43105,43331,43338,43473,43419,43475,43509,43547,43499,43397,43843,44155,44328,44475,45690,46109,46287,46478,46632,46667,46716,46800,46724,46712
177,충청남도 당진시 (4427000000),166815,166551,166253,166136,166098,166084,166057,166067,165991,166073,166145,166249,166189,166218,166186,166333,166491,166754,166937,166805,166714,166802,166989,167092,167050,166894,166971,166893,166928,167092,167397,167479,167553,167755,167955,168253,169427,169579,169784,170097,170250,170302,170353,170289,170266,170279
178,충청남도 금산군 (4471000000),52120,51969,51904,51781,51746,51665,51696,51641,51563,51476,51443,51413,51262,51227,50953,50950,50932,50890,50826,50783,50629,50597,50562,50477,50335,50351,50290,50277,50245,50211,50224,50176,50111,50088,50092,50092,50285,50255,50195,50150,50120,50093,50025,49948,50129,50069
179,충청남도 부여군 (4476000000),66676,66548,66353,66214,66086,65919,65844,65723,65613,65528,65431,65354,65202,65039,64626,64527,64426,64361,64336,64220,64036,63923,63891,63774,63599,63488,63324,63260,63171,63129,63047,62894,62642,62523,62435,62343,61583,61414,61345,61252,61165,61046,60869,60731,60561,60408
180,충청남도 서천군 (4477000000),52702,52582,52494,52374,52247,52209,52223,52137,52026,51933,51926,51866,51742,51657,51361,51289,51274,51153,51072,51036,50968,50884,50798,50745,50703,50644,50597,50503,50439,50411,50373,50296,50139,50057,50009,49964,49477,49385,49314,49242,49149,49116,49037,48947,48901,48846
181,충청남도 청양군 (4479000000),31577,31385,31245,31139,31034,30994,30950,30863,30797,30823,30816,30948,30840,30750,30625,30658,30590,30548,30493,30429,30359,30399,30390,30440,30396,30390,30547,30532,30507,30442,30392,30335,30245,30278,30270,30266,30157,30117,30069,30077,30135,30168,30013,30012,30023,29971
182,충청남도 홍성군 (4480000000),100347,100245,100063,99973,100013,99980,100020,99984,99909,99844,99890,100102,99850,99753,99756,99755,99757,99440,99425,99465,99399,99407,99336,99324,99267,99264,99125,99025,98833,98767,98705,98597,98337,98099,98053,98068,96849,97062,97228,97345,97477,97524,97721,97946,98349,98317
183,충청남도 예산군 (4481000000),79126,78915,78881,78726,78618,78610,78609,78420,78370,78286,78146,78084,78129,78048,77585,77538,77468,77348,77284,77241,77016,76974,76830,76801,76703,76540,76443,76385,76619,76647,76643,76651,76808,77206,77329,77385,78832,78744,78664,78529,78404,78354,78310,78177,77960,78183
184,충청남도 태안군 (4482500000),62628,62418,62324,62283,62193,62272,62281,62296,62364,62390,62346,62214,62050,61871,61771,61802,61818,61867,61931,61890,61808,61782,61600,61526,61462,61400,61437,61411,61487,61481,61547,61555,61461,61394,61342,61335,61023,60950,60933,60866,60806,60784,60731,60616,60508,60478
185,전라북도  (4500000000),1817302,1815112,1812936,1811619,1810097,1808802,1808044,1807094,1806441,1805937,1805204,1804104,1802748,1801319,1797450,1796331,1794682,1794345,1793902,1792476,1791110,1789770,1788616,1786855,1785392,1783923,1782205,1780824,1779230,1778279,1776949,1775664,1772596,1771776,1770839,1769607,1761169,1759815,1758661,1757295,1756183,1754757,1788510,1788510,1788510,1788510
186,전라북도 전주시 (4511000000),654963,655447,655519,655713,655607,655472,655784,656149,656688,657185,657745,657432,657661,657998,657064,656755,656934,657428,657664,657577,658235,658216,657930,657269,656766,656331,655879,655601,654749,654521,653964,653581,652876,652695,652458,651495,645600,644909,644389,643920,643431,642727,654293,654293,654293,654293
187,전라북도 전주시 완산구 (4511100000),338977,339281,339291,338965,338482,338697,339317,339695,339975,339877,339973,339718,339406,339227,338363,338010,337822,337968,337946,337747,337671,337186,336540,335804,335292,334790,334531,334286,333703,334166,334468,334515,334252,333820,333221,332573,329241,328772,328331,327987,327654,327178,335826,335826,335826,335826
188,전라북도 전주시 덕진구 (4511300000),315986,316166,316228,316748,317125,316775,316467,316454,316713,317308,317772,317714,318255,318771,318701,318745,319112,319460,319718,319830,320564,321030,321390,321465,321474,321541,321348,321315,321046,320355,319496,319066,318624,318875,319237,318922,316359,316137,316058,315933,315777,315549,318466,318466,318466,318466
189,전라북도 군산시 (4513000000),269779,269201,268766,268667,268558,268356,268243,267982,268025,267987,267911,267859,267798,267612,266959,266878,266345,266389,266226,266026,265770,265504,265452,265304,265160,264949,264656,264358,264030,263897,263709,263500,262937,262819,262635,262467,260773,260675,260627,260407,260330,259980,265369,265369,265369,265369
190,전라북도 익산시 (4514000000),286997,286096,285431,285255,284746,284217,283853,283496,283064,282847,282582,282276,281539,280847,280585,280399,280152,280072,279836,279517,279207,278798,278496,278113,277664,277444,277151,276666,276376,276140,275719,275254,274525,274317,274117,273697,271394,270993,270758,270546,270261,270036,278606,278606,278606,278606
191,전라북도 정읍시 (4518000000),110310,110120,109951,109763,109646,109503,109355,109167,108963,108861,108681,108508,108470,108344,107710,107555,107489,107422,107349,107169,106951,106814,106634,106487,106534,106403,106187,105982,105884,105812,105702,105590,105356,105282,105176,105081,104220,104088,103984,103755,103632,103620,106988,106988,106988,106988
192,전라북도 남원시 (4519000000),81439,81358,81257,81170,81067,81051,81028,81062,80905,80863,80784,80662,80570,80375,80227,80196,80086,80032,80027,79933,79673,79649,79581,79431,79308,79099,79015,78967,78787,78781,78626,78474,78272,78165,78081,77948,77248,77135,77021,76972,76884,76781,79475,79475,79475,79475
193,전라북도 김제시 (4521000000),83803,83595,83570,83391,83384,83327,83177,83061,82914,82786,82623,82450,82326,82193,82079,82031,81593,81462,81406,81347,81177,81106,81012,80913,80933,80869,80806,80782,80836,80861,80882,81162,81158,81205,81357,81455,81833,81711,81644,81578,81502,81430,81874,81874,81874,81874
194,전라북도 완주군 (4571000000),92171,92201,92135,91976,91835,91841,91828,91741,91806,91553,91445,91609,91450,91422,91127,91127,91126,91024,91197,91223,91146,91093,91137,91142,91060,91072,91041,91015,91079,91134,91545,91719,91663,91711,91776,92422,96338,96887,97115,97304,97605,97827,92301,92301,92301,92301
195,전라북도 진안군 (4572000000),25681,25652,25621,25548,25514,25509,25477,25466,25444,25411,25351,25394,25344,25302,25252,25244,25233,25181,25113,25063,24985,24941,24974,24987,24957,24974,24961,24963,24955,24898,24823,24771,24701,24652,24598,24550,24625,24601,24544,24532,24473,24465,25065,25065,25065,25065
196,전라북도 무주군 (4573000000),24271,24230,24178,24127,24089,24042,24014,24024,24032,24034,24031,24036,24046,23990,23940,23912,23917,23875,23849,23834,23764,23769,23770,23748,23735,23744,23745,23745,23747,23711,23693,23645,23577,23540,23510,23489,23394,23370,23345,23314,23298,23251,23794,23794,23794,23794
197,전라북도 장수군 (4574000000),22382,22285,22277,22277,22230,22240,22205,22159,22149,22140,22099,22085,22081,22035,21946,21910,21902,21880,21854,21811,21755,21731,21723,21695,21683,21644,21645,21624,21626,21580,21536,21497,21464,21425,21358,21336,21081,21084,21067,21036,21009,20983,21750,21750,21750,21750
198,전라북도 임실군 (4575000000),28446,28253,28073,27895,27807,27783,27706,27663,27566,27508,27424,27314,27248,27179,27044,27038,27019,27009,26952,26873,26755,26717,26665,26730,26686,26705,26664,26732,26807,26678,26580,26534,26490,26498,26442,26508,26209,26140,26080,26053,25999,25956,26962,26962,26962,26962
199,전라북도 순창군 (4577000000),28311,28260,28155,28124,28040,28018,28016,27942,27871,27857,27805,27810,27665,27624,27474,27378,27321,27283,27219,27120,27033,26980,26922,26855,26768,26730,26689,26721,26786,26799,26791,26743,26690,26707,26707,26727,26812,26760,26760,26751,26750,26764,27250,27250,27250,27250
200,전라북도 고창군 (4579000000),55604,55425,55190,55021,54950,54858,54811,54727,54656,54588,54486,54529,54512,54435,54243,54222,54018,53869,53826,53739,53606,53534,53468,53386,53366,53269,53151,53112,53041,52981,52928,52836,52630,52543,52451,52338,51915,51836,51782,51737,51754,51750,53598,53598,53598,53598
201,전라북도 부안군 (4580000000),53145,52989,52813,52692,52624,52585,52547,52455,52358,52317,52237,52140,52038,51963,51800,51686,51547,51419,51384,51244,51053,50918,50852,50795,50772,50690,50615,50556,50527,50486,50451,50358,50257,50217,50173,50094,49727,49626,49545,49390,49255,49187,51179,51179,51179,51179
202,전라남도  (4600000000),1864712,1861894,1859290,1857083,1855945,1854618,1853339,1851985,1851124,1850680,1850557,1851549,1850575,1849795,1844811,1844148,1842423,1840921,1839698,1838353,1835690,1834653,1833864,1832803,1832604,1831451,1829501,1828550,1827674,1826440,1825534,1824104,1820458,1819157,1818484,1817697,1810071,1808339,1807295,1805823,1804875,1804217,1802672,1800352,1798435,1797199
203,전라남도 목포시 (4611000000),229744,229235,229009,228916,228587,228231,228198,226875,225684,225278,224973,224044,223362,222809,221463,221156,221020,220794,220379,219944,219552,219150,218785,218589,218700,218605,218241,218024,217912,217604,217470,217257,216909,216994,217041,216939,214858,214580,214534,214448,214294,214156,213983,213659,213376,213172
204,전라남도 여수시 (4613000000),282356,282062,281794,281604,281250,281121,280925,280603,280545,280584,280549,280242,280497,280213,279844,279613,278999,278481,278123,277752,277356,277008,276747,276762,276957,276544,276145,275812,275618,275544,275489,275642,275197,275011,274914,274765,272826,272503,272375,272151,271949,271696,271413,271098,270786,270634
205,전라남도 순천시 (4615000000),281014,281347,281873,281349,280795,281054,281366,281999,282200,282676,282618,282189,282618,282336,282104,282069,281745,281816,281883,281878,281977,281787,281587,281436,280699,280607,280719,280478,280386,280195,279980,279593,279222,279069,278809,278737,278810,278807,278587,278402,278259,278137,277950,277646,277539,277342
206,전라남도 나주시 (4617000000),114671,114618,114516,114380,114469,114448,114369,114392,114522,114931,115153,115613,115855,116348,116113,116332,116486,116513,116636,116670,116668,116711,116701,116726,116601,116749,116497,116398,116391,116284,116143,116049,115818,115762,116205,116456,117060,117142,117133,117179,117238,117377,117262,117288,117103,117043
207,전라남도 광양시 (4623000000),153335,152304,151372,151751,152576,152016,151662,151122,150848,150461,150680,151769,151045,151016,150779,150701,150660,150591,150699,150643,150121,150154,150493,150531,151796,151637,151410,151460,151527,151669,151825,152102,152082,152145,152184,152168,152108,152007,152160,152327,152452,152666,152853,152818,152779,152770
208,전라남도 담양군 (4671000000),46443,46367,46265,46122,46077,46045,46040,45980,45938,45903,45936,46280,46475,46545,46541,46624,46650,46522,46421,46314,46178,46198,46184,46180,46144,46216,46208,46169,46178,46159,46114,46018,45843,45776,45750,45792,45554,45474,45445,45386,45308,45373,45272,45165,45059,45007
209,전라남도 곡성군 (4672000000),28773,28696,28569,28455,28386,28340,28254,28226,28173,28106,28036,28039,27982,27952,27888,27916,27962,27916,27835,27754,27655,27616,27581,27535,27508,27475,27432,27466,27443,27396,27348,27283,27158,27114,27085,27060,27036,26964,26957,26893,26920,26905,26844,26803,26768,26769
210,전라남도 구례군 (4673000000),26214,26086,25976,25895,25851,25826,25766,25696,25650,25578,25577,25719,25573,25505,25437,25400,25287,25255,25181,25161,25095,25121,25175,25235,25173,25149,25130,25186,25140,25011,24953,24884,24798,24761,24711,24655,24433,24419,24385,24359,24354,24314,24277,24270,24196,24165
211,전라남도 고흥군 (4677000000),64851,64728,64581,64407,64336,64336,64273,64198,64085,64038,64013,63922,63869,63814,63572,63508,63434,63374,63239,63124,62965,62930,62833,62762,62631,62606,62527,62530,62513,62442,62387,62293,62177,62048,62007,61880,61436,61353,61328,61242,61169,61113,61057,60933,60871,60832
212,전라남도 보성군 (4678000000),41398,41329,41232,41135,41016,40939,40826,40754,40689,40611,40494,40482,40430,40305,40169,40179,39891,39838,39790,39734,39592,39564,39478,39375,39292,39251,39200,39183,39084,39031,38942,38834,38683,38614,38549,38471,38003,37967,37886,37785,37749,37686,37619,37562,37520,37483
213,전라남도 화순군 (4679000000),62642,62529,62493,62510,62554,62654,62662,62649,62655,62562,62506,62522,62455,62478,62289,62310,62225,62153,62131,62439,62567,62598,62618,62624,62584,62650,62643,62601,62587,62402,62315,62207,62086,62085,62058,62024,61559,61506,61393,61310,61331,61254,61177,61088,60966,60946
214,전라남도 장흥군 (4680000000),38489,38400,38333,38225,38146,38071,37998,37909,37839,37823,37819,37800,37689,37528,37266,37177,37095,37028,36963,36876,36742,36701,36622,36547,36514,36405,36298,36236,36181,36147,36102,35999,35856,35797,35726,35650,35301,35201,35165,35119,35107,35046,34950,34877,34810,34729
215,전라남도 강진군 (4681000000),35226,35163,35161,35054,34977,34913,34858,34809,34749,34724,34670,34597,34568,34487,34327,34314,34275,34248,34194,34099,33961,33860,33793,33753,33664,33620,33534,33503,33461,33428,33397,33314,33243,33223,33169,33177,32968,32897,32844,32748,32737,32722,32718,32651,32602,32587
216,전라남도 해남군 (4682000000),70212,70018,69804,69649,69588,69465,69399,69274,69153,69118,68966,68806,68736,68589,68291,68229,68153,68055,67917,67797,67576,67425,67328,67166,67099,67071,66961,66855,66722,66629,66523,66336,66129,66001,65917,65831,65133,65004,64909,64735,64658,64575,64444,64246,64096,64016
217,전라남도 영암군 (4683000000),54484,54383,54335,54229,54224,54266,54223,54045,53998,53869,53752,53699,53687,53652,53469,53437,53370,53290,53236,53108,53020,53000,52964,52937,53022,52946,52970,53103,53108,53052,52976,52898,52679,52555,52513,52395,52493,52466,52454,52404,52293,52350,52331,52180,52129,52050
218,전라남도 무안군 (4684000000),81144,81322,81409,81412,81565,81620,81522,83006,84433,84944,85245,86132,86940,87570,87870,88075,88339,88660,89184,89675,90086,90488,90973,91107,91102,91013,90874,90876,90882,91078,91158,91097,90904,90784,90757,90608,90505,90455,90449,90410,90370,90296,90338,90130,90097,90156
219,전라남도 함평군 (4686000000),32785,32735,32630,32519,32433,32360,32307,32238,32209,32192,32112,32050,31992,31899,31711,31653,31629,31526,31444,31418,31375,31379,31343,31274,31157,31126,31167,31090,31076,31000,30977,30952,30923,30875,30848,30784,30730,30682,30633,30604,30610,30601,30523,30466,30405,30393
220,전라남도 영광군 (4687000000),53835,53694,53625,53539,53512,53475,53440,53365,53308,53226,53183,53099,53048,52944,52663,52587,52571,52487,52407,52288,52119,52113,52024,51985,52045,51980,51947,51973,52033,52127,52292,52348,52204,52202,52169,52197,52163,52058,52010,51926,51840,51750,51670,51609,51552,51492
221,전라남도 장성군 (4688000000),45625,45595,45412,45325,45222,45203,45126,44921,44810,44620,44543,44464,44330,44432,44129,44078,44029,43915,43808,43715,43575,43553,43518,43365,43343,43356,43241,43239,43190,43182,43231,43233,43134,43118,43046,43146,42720,42665,42620,42518,42477,42543,42479,42496,42449,42389
222,전라남도 완도군 (4689000000),50630,50560,50431,50351,50245,50192,50210,50153,50065,50042,49975,49916,49811,49757,49673,49604,49458,49404,49308,49171,48990,48861,48770,48631,48481,48415,48329,48314,48197,48079,48013,47955,47830,47754,47634,47597,47068,46967,46874,46805,46726,46641,46530,46399,46291,46226
223,전라남도 진도군 (4690000000),30685,30601,30564,30511,30494,30461,30425,30385,30300,30233,30748,31227,30845,30709,30494,30445,30421,30368,30306,30242,30129,30110,30104,30066,29996,29969,29915,29914,29888,29816,29729,29686,29602,29559,29543,29507,29183,29096,29044,28998,28991,28979,28938,28880,28860,28807
224,전라남도 신안군 (4691000000),40156,40122,39906,39745,39642,39582,39490,39386,39271,39161,39009,38938,38768,38907,38719,38741,38724,38687,38614,38551,38391,38326,38243,38217,38096,38061,38113,38140,38157,38165,38170,38124,37981,37910,37849,37858,38124,38126,38110,38074,38043,38037,38044,38088,38181,38191
225,경상북도  (4700000000),2662508,2658956,2653418,2651054,2648760,2646493,2644001,2640932,2640003,2639763,2639245,2639422,2637639,2636747,2635563,2635896,2633592,2632401,2631649,2630254,2628344,2627925,2627468,2626609,2624310,2622026,2619641,2617552,2616177,2613963,2612016,2609356,2605066,2603389,2602052,2600492,2564065,2561623,2559924,2558085,2556262,2554324,2551370,2548440,2546960,2546120
226,경상북도 포항시 (4711000000),506494,506162,505479,505209,504829,504461,504230,503883,503731,503456,503139,502916,502736,503051,503786,504103,503580,503634,503489,503344,503146,503179,503388,503852,503404,502704,501691,500947,500324,499854,499363,498597,497900,497546,497197,496650,493561,493261,493102,492941,492936,493033,492949,492663,492342,492574
227,경상북도 포항시 남구 (4711100000),235006,233846,233066,232620,232216,231837,231533,231180,230967,230800,230573,230422,230381,230712,231019,231264,231084,230984,230940,230550,230351,230407,230644,230801,230563,230268,229821,229471,229188,229100,228944,228610,228242,228001,227770,227486,226791,226685,226578,226500,226357,226278,226165,226082,225520,224378
228,경상북도 포항시 북구 (4711300000),271488,272316,272413,272589,272613,272624,272697,272703,272764,272656,272566,272494,272355,272339,272767,272839,272496,272650,272549,272794,272795,272772,272744,273051,272841,272436,271870,271476,271136,270754,270419,269987,269658,269545,269427,269164,266770,266576,266524,266441,266579,266755,266784,266581,266822,268196
229,경상북도 경주시 (4713000000),255253,254853,254441,254225,254035,253758,253674,253460,253396,253282,253468,253502,253475,253579,252911,252869,252830,252602,252438,252344,252444,252403,252162,251889,251627,251505,251154,251133,251021,250857,250743,250453,250108,249928,249845,249607,248453,248335,248244,248058,247762,247489,247124,246708,246371,246081
230,경상북도 김천시 (4715000000),140991,140863,140609,140418,140384,140651,140627,140511,140468,140413,140547,140548,140511,140560,140720,140665,140629,140293,140219,140130,140061,140149,140120,140239,140144,140039,140078,140065,140023,139906,139851,139710,139573,139477,139396,139324,138495,138222,138059,137958,137837,137515,137247,136923,136769,136658
231,경상북도 안동시 (4717000000),159844,159645,159338,159035,158820,158526,158765,158867,158929,158834,158803,158907,158675,158493,158240,158210,157882,157805,157690,157534,157401,157317,157177,156972,156729,156533,156182,156023,156006,155904,155725,155451,155182,155020,154860,154610,153555,153436,153306,153241,153121,152935,152751,152657,152733,152981
232,경상북도 구미시 (4719000000),419761,419296,418436,418205,418007,417480,417098,416551,416626,416722,416279,416328,415949,415409,414953,414730,414525,414284,414207,413813,413594,413366,413164,412581,412345,411476,410412,409935,409679,409555,409091,408619,408179,407993,407880,408110,406532,406258,406053,405755,405455,405506,405518,405333,405189,404966
233,경상북도 영주시 (4721000000),104985,104795,104557,104418,104236,104003,103862,103652,103503,103386,103272,103119,103043,102917,102738,102703,102506,102440,102377,102258,102065,101929,101895,101942,101879,101786,101599,101512,101421,101370,101332,101192,100997,100901,100823,100749,100363,100196,100011,100208,100216,100199,100100,99966,100072,99960
234,경상북도 영천시 (4723000000),102163,101967,101630,101828,101758,101601,101515,101523,101693,101840,101904,102015,101799,102024,102383,102529,102194,102099,101856,101881,101670,101681,101703,101888,101634,101513,101552,101492,101391,101285,101222,101200,101131,101181,101051,101088,100689,100526,100416,100253,100291,100212,100110,100206,100195,100146
235,경상북도 상주시 (4725000000),99814,99438,98967,98644,98435,98201,98038,97875,97689,97633,97483,97228,97159,96942,96855,96793,96337,96273,96160,96019,95788,95677,95701,95566,95615,95849,95771,95695,95501,95490,95394,95305,95108,95026,94931,94823,94386,94254,94168,93980,93896,93858,93645,93441,93418,93212
236,경상북도 문경시 (4728000000),71889,71778,71527,71382,71282,71683,71417,71258,71250,71318,71213,71406,70919,71030,71924,71800,71591,71409,71242,71045,71096,71223,71159,71154,70935,71106,72283,72212,72390,72065,71752,71481,71003,70847,70645,70373,69410,69242,69171,69052,68914,68755,68529,68369,68232,68205
237,경상북도 경산시 (4729000000),263229,263075,263285,263375,263286,263034,262537,262300,262311,262566,262988,263728,264150,264279,264023,264722,265888,266747,267453,267935,268331,268431,268455,268369,268157,268087,267844,267583,267579,267423,267607,268138,267891,267710,267763,267725,267246,267144,267076,266843,266528,266205,265801,265738,266075,266169
238,경상북도 군위군 (4772000000),23821,23800,23614,23534,23477,23451,23437,23409,23345,23351,23299,23256,23216,23130,23094,23063,22942,22924,22880,22853,22829,22894,22899,22945,23008,23053,23258,23314,23409,23405,23359,23318,23312,23302,23338,23340,23246,23246,23246,23246,23246,23246,23246,23246,23246,23246
239,경상북도 의성군 (4773000000),52674,52516,52333,52236,52148,52142,52051,51940,51895,51879,51827,51724,51601,51501,51404,51380,51161,51099,51042,50952,50831,50739,50665,50632,50561,50487,50560,50609,50597,50554,50477,50374,50241,50172,50113,50186,50037,50035,50016,50165,50088,50086,49882,49727,49696,49588
240,경상북도 청송군 (4775000000),25439,25430,25340,25291,25264,25228,25161,25122,25080,25110,25077,25044,25030,24991,24907,24904,24825,24784,24768,24773,24706,24605,24590,24539,24535,24546,24538,24555,24532,24486,24464,24387,24286,24289,24288,24295,24145,24088,24068,24033,24034,24019,24034,23963,23950,23935
241,경상북도 영양군 (4776000000),16999,16946,16884,16844,16786,16748,16738,16680,16669,16670,16677,16692,16638,16623,16549,16516,16494,16411,16396,16350,16319,16330,16335,16320,16289,16248,16256,16263,16262,16218,16200,16126,16095,16066,16058,16022,15818,15799,15782,15736,15704,15661,15642,15587,15553,15517
242,경상북도 영덕군 (4777000000),37233,37096,36969,36845,36763,36721,36666,36591,36592,36473,36399,36313,36245,36188,36043,35962,35912,35779,35732,35678,35540,35497,35451,35314,35282,35187,35166,35122,35092,35034,34991,34937,34772,34759,34688,34650,34329,34263,34201,34154,34109,34055,33982,33898,33782,33711
243,경상북도 청도군 (4782000000),42923,42852,42727,42684,42651,42553,42512,42480,42432,42409,42332,42263,42245,42226,42119,42085,41952,41847,41804,41736,41670,41736,41827,41891,41903,41856,41781,41734,41694,41654,41617,41609,41491,41544,41586,41614,41509,41486,41450,41386,41361,41316,41267,41184,41144,41140
244,경상북도 고령군 (4783000000),32296,32220,31968,31910,31842,31764,31602,31477,31394,31398,31378,31361,31310,31245,31167,31133,31024,30927,30855,30792,30683,30694,30673,30626,30623,30610,30525,30508,30428,30377,30333,30289,30198,30206,30326,30353,30206,30123,30127,30190,30184,30139,30025,30006,30050,30190
245,경상북도 성주군 (4784000000),43975,43904,43682,43627,43582,43488,43426,43319,43231,43205,43225,43414,43335,43234,43105,43118,43004,42964,42964,42880,42782,42781,42766,42842,42916,42972,42944,42930,42910,42861,42822,42740,42620,42595,42578,42566,42366,42292,42245,42207,42172,42086,42038,42001,41971,41936
246,경상북도 칠곡군 (4785000000),116772,116456,115924,115780,115658,115345,115177,114889,114719,114780,114951,114758,114777,114691,114381,114297,114029,114016,113981,114021,113870,113843,113896,113822,113683,113664,113455,113311,113312,113184,113157,112993,112740,112626,112598,112487,111372,111258,111173,110951,110881,110581,110299,109904,109475,109234
