센터명,위도,경도,주소
의령군가족센터,35.31943700000001,128.2588483,대한민국 경상남도 의령군
진주시가족센터,35.1805242,128.0653256,대한민국 경상남도 진주시 진양호로 305
사)창녕모람,35.5306323,128.5029283,대한민국 경상남도 창녕군
사단법인희망이룸 ,35.2209003,128.6904649,대한민국 경상남도 창원시 성산구 KR 창원시 성산구 원이대로 716 대동메디컬센터
사회적협동조합 마산희망지역자활센터,35.2039869,128.5756876,대한민국 경상남도 창원시 마산합포구 남성동 151-5
(사)경남글로벌인재진흥원,35.3763461,128.147727,대한민국 경상남도
통영시가족센터,34.8758687,128.4189253,대한민국 경상남도 통영시 광도면 신죽2길 130 4층
경남하동지역자활센터,35.0678999,127.7493581,대한민국 경상남도 하동군
함안군청,35.2728446,128.4064858,대한민국 경상남도 함안군 가야읍 도항리
함양군가족센터,35.5211558,127.7332085,대한민국 경상남도 함양군
합천군여성단체협의회,35.2738575,128.4096202,대한민국 경상남도 함안군 가야읍 말산리 156-1
서귀포시가족센터,33.2532177,126.5609945,대한민국 제주특별자치도 서귀포시
제주시가족센터,33.5112344,126.5227823,대한민국 제주시
