행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
서울특별시 송파구 (1171000000),676341,675782,674095,672862,672089,671512,671589,671312,670331,668920,668498,667960,667222,665463,661411,660160,659446,658670,658093,658991,659385,659239,658841,658338,658859,661452,662607,662963,662960,662961,663070,662599,660211,659788,659381,658801,656603.0,656176.0,655744.0,655300.0,654845.0,654166.0,653989.0,653922.0,653736.0,653447.0
서울특별시 강동구 (1174000000),440795,446887,452646,455042,456312,457164,457339,457330,458058,458495,458604,459970,461334,464208,464900,465331,465459,465209,465191,464411,464163,463752,463265,462664,462452,461972,461300,461228,461417,461630,461774,462109,460617,460413,460258,460067,458614.0,458400.0,458385.0,458292.0,458824.0,459167.0,459389.0,460515.0,461367.0,461921.0
부산광역시  (2600000000),3411819,3410925,3409932,3408347,3406942,3404423,3402776,3401072,3399749,3397598,3395514,3391946,3389388,3387761,3372399,3369704,3367334,3364358,3361781,3359527,3358763,3356311,3353627,3350380,3348874,3347396,3343504,3340214,3338167,3336737,3334595,3331444,3323826,3322286,3320276,3317812,3305052.0,3302740.0,3300836.0,3298213.0,3295496.0,3293362.0,3290964.0,3289401.0,3287292.0,3284947.0
부산광역시 중구 (2611000000),41830,41826,41764,41714,41742,41652,41633,41630,41593,41547,41501,41523,41549,41551,41370,41311,41209,40561,40666,40713,40708,40676,40556,40524,40537,40582,40596,40585,40537,40455,40342,40297,40117,39936,39840,39689,39151.0,39060.0,38956.0,38831.0,38723.0,38619.0,38476.0,38487.0,38463.0,38385.0
부산광역시 서구 (2614000000),107973,107844,107669,107722,107868,107947,107934,107768,107689,107996,108119,108135,107978,107824,106451,106545,106556,106422,106314,105996,105813,105557,105406,105164,104863,104618,104323,103961,103810,104340,104755,105386,105380,105358,105286,105192,104299.0,104304.0,104251.0,104268.0,104192.0,104089.0,103889.0,103694.0,103525.0,103289.0
부산광역시 동구 (2617000000),88292,88439,89289,89673,89710,89698,89721,89665,89410,89205,89031,88901,88763,88639,88218,88159,88080,87916,87764,87585,87595,87705,87770,87679,87906,88245,88283,88257,88222,88087,87851,87701,87103,86948,86670,86462,87721.0,88027.0,88069.0,88008.0,87910.0,87792.0,87619.0,87460.0,87275.0,87170.0
부산광역시 영도구 (2620000000),116447,116155,115886,115645,115388,115120,114873,114511,114252,113909,113621,113342,113048,112809,111507,111387,111574,111685,111580,111386,111210,111111,110901,110638,110425,109991,109660,109407,109460,109395,109327,109131,108699,108505,108294,108156,107143.0,107103.0,107003.0,106816.0,106701.0,106548.0,106335.0,106233.0,106108.0,105864.0
부산광역시 부산진구 (2623000000),357284,356811,356661,356978,357190,357242,357695,357768,357558,358317,359375,359886,359978,360025,357645,357193,356706,356091,355589,355138,354924,354428,353769,353159,352462,351764,351154,351022,350977,350999,351436,351682,351125,353568,355302,355917,357296.0,357196.0,358316.0,359329.0,359712.0,359508.0,360053.0,360881.0,361264.0,361320.0
부산광역시 동래구 (2626000000),271562,271528,272319,272570,272532,272476,272554,272182,271980,271633,271187,270745,270695,270678,269497,268996,268616,268391,267994,267672,267425,266912,266570,266866,270338,273802,274134,273976,273996,274491,274769,274638,274136,273790,273447,273226,272376.0,272176.0,271877.0,271670.0,271504.0,270815.0,269784.0,269350.0,269036.0,268872.0
부산광역시 남구 (2629000000),273707,272927,272381,271674,271183,270606,270125,269626,269251,268711,268249,267731,267351,266989,265759,265194,264679,264098,263764,263333,263262,263236,262856,262069,261209,260624,260581,260617,260261,259735,259135,258660,257934,257147,256647,256333,255392.0,255095.0,254599.0,254455.0,254469.0,254185.0,254348.0,255107.0,255470.0,255629.0
부산광역시 북구 (2632000000),290908,290230,289575,289059,288986,288376,287736,286865,286327,285507,284872,283952,283452,282799,281851,282073,283138,283612,283696,283901,283937,283766,283584,283211,282535,281749,281198,280852,280647,280511,280268,280116,279964,279770,279303,278857,276316.0,275670.0,274961.0,274481.0,274072.0,273596.0,272932.0,272315.0,271932.0,271525.0
부산광역시 해운대구 (2635000000),406312,405708,405155,405268,404459,403923,403878,403118,402749,402820,402518,402169,401710,401280,400083,399821,399222,399015,398645,398117,397918,397516,397071,396438,395788,394792,393809,393130,392110,391311,390782,389841,388393,387840,387297,386785,383042.0,382448.0,382115.0,381466.0,381031.0,380448.0,379702.0,378753.0,378063.0,377664.0
부산광역시 사하구 (2638000000),320254,319542,318866,318196,317747,317258,316705,315748,314728,313677,312840,311757,311052,310740,309302,308684,308036,307559,306866,306885,306843,306605,306421,306003,305922,306098,305762,305556,305393,305008,304583,304029,303143,302844,302450,301987,300440.0,299844.0,299416.0,298815.0,298339.0,297831.0,296935.0,296253.0,295755.0,295217.0
부산광역시 금정구 (2641000000),238556,238208,237508,236904,236596,236009,235155,234640,234135,233601,233303,232666,231959,231743,230605,230204,229704,229222,229228,229240,229350,229148,228936,228049,226875,226029,225608,225033,224746,224173,223713,223430,222783,222264,221647,221256,218300.0,217839.0,217429.0,216770.0,216290.0,215590.0,214642.0,214168.0,213976.0,213602.0
부산광역시 강서구 (2644000000),130298,130748,131140,131235,131557,131779,131979,133354,135330,136485,137229,137957,138610,139088,139239,139652,140215,140720,141226,141688,142104,142444,142768,142918,143098,143227,143429,143638,143914,144047,144071,143925,143727,143611,143360,143207,142970.0,142890.0,142886.0,142777.0,142704.0,142396.0,142109.0,141783.0,141775.0,142103.0
