
Variable          Rec   Start     End  Format
e58                 1     562     562  F1.0
e59                 1     563     563  F1.0
e60                 1     564     564  F1.0
e61                 1     565     565  F1.0
e62                 1     566     566  F1.0
e63                 1     567     567  F1.0
e64                 1     568     568  F1.0
e65                 1     569     569  F1.0
e66                 1     570     570  F1.0
e67                 1     571     571  F1.0
e68                 1     572     572  F1.0
e69                 1     573     573  F1.0
e70                 1     574     574  F1.0
e71                 1     575     575  F1.0
e72                 1     576     576  F1.0
e73                 1     577     577  F1.0
e74                 1     578     578  F1.0
e75                 1     579     579  F1.0
e76                 1     580     580  F1.0
e77                 1     581     581  F1.0
e78                 1     582     582  F1.0
e79                 1     583     583  F1.0
e80                 1     584     584  F1.0
e81                 1     585     585  F1.0
e82                 1     586     586  F1.0
e83                 1     587     587  F1.0
e84                 1     588     588  F1.0
e85                 1     589     589  F1.0
e86                 1     590     590  F1.0
e87                 1     591     591  F1.0
e88                 1     592     592  F1.0
e89                 1     593     593  F1.0
e90                 1     594     595  F2.0
e91                 1     596     597  F2.0
e92                 1     598     598  F1.0
e93                 1     599     599  F1.0
e94                 1     600     600  F1.0
e95                 1     601     601  F1.0
e96                 1     602     602  F1.0
e97                 1     603     603  F1.0
e98                 1     604     604  F1.0
e99                 1     605     605  F1.0
e100                1     606     606  F1.0
e101                1     607     607  F1.0
e102                1     608     608  F1.0
e103                1     609     609  F1.0
e104                1     610     610  F1.0
e105                1     611     611  F1.0
cd6                 1     612     612  F1.0
f1                  1     613     613  F1.0
f2                  1     614     614  F1.0
f3                  1     615     615  F1.0
f4                  1     616     616  F1.0
f5                  1     617     617  F1.0
f6                  1     618     618  F1.0
f7                  1     619     619  F1.0
f8                  1     620     620  F1.0
f9                  1     621     621  F1.0
f10                 1     622     622  F1.0
f11                 1     623     623  F1.0
f12                 1     624     624  F1.0
f13                 1     625     625  F1.0
f14                 1     626     626  F1.0
f15                 1     627     627  F1.0
f16                 1     628     628  F1.0
f17                 1     629     629  F1.0
f18                 1     630     630  F1.0
f19                 1     631     631  F1.0
f20                 1     632     632  F1.0
f21                 1     633     633  F1.0
f22                 1     634     634  F1.0
f23                 1     635     635  F1.0
f24                 1     636     636  F1.0
f25                 1     637     637  F1.0
f26                 1     638     638  F1.0
f27                 1     639     639  F1.0
f28                 1     640     640  F1.0
f29                 1     641     641  F1.0
f30                 1     642     642  F1.0
cd7                 1     643     643  F1.0
g1                  1     644     645  F2.0
g2                  1     646     646  F1.0
g3                  1     647     647  F1.0
g4                  1     648     648  F1.0
g5                  1     649     649  F1.0
g6                  1     650     651  F2.0
g7                  1     652     652  F1.0
g8                  1     653     653  F1.0
g9                  1     654     654  F1.0
g10                 1     655     655  F1.0
g11                 1     656     657  F2.0
g12                 1     658     658  F1.0
g13                 1     659     659  F1.0
g14                 1     660     660  F1.0
g15                 1     661     661  F1.0
g16                 1     662     663  F2.0
g17                 1     664     664  F1.0
g18                 1     665     665  F1.0
g19                 1     666     666  F1.0
g20                 1     667     667  F1.0
g21                 1     668     669  F2.0
g22                 1     670     670  F1.0
g23                 1     671     671  F1.0
g24                 1     672     672  F1.0
g25                 1     673     673  F1.0
g26                 1     674     675  F2.0
g27                 1     676     676  F1.0
g28                 1     677     677  F1.0
g29                 1     678     678  F1.0
g30                 1     679     679  F1.0
g31                 1     680     681  F2.0
g32                 1     682     682  F1.0
g33                 1     683     683  F1.0
g34                 1     684     684  F1.0
g35                 1     685     685  F1.0
g36                 1     686     687  F2.0
