
Variable          Rec   Start     End  Format
K10                 1     448     448  F1.0
K11                 1     449     449  F1.0
K12                 1     450     450  F1.0
K13                 1     451     451  F1.0
K14                 1     452     452  F1.0
K15                 1     453     453  F1.0
K16                 1     454     454  F1.0
K17                 1     455     455  F1.0
K18                 1     456     456  F1.0
K19                 1     457     457  F1.0
K20                 1     458     458  F1.0
K21                 1     459     459  F1.0
K22                 1     460     460  F1.0
K23                 1     461     461  F1.0
K24                 1     462     462  F1.0
K25                 1     463     463  F1.0
K26                 1     464     464  F1.0
K27                 1     465     465  F1.0
K28                 1     466     466  F1.0
K29                 1     467     467  F1.0
K30                 1     468     468  F1.0
K31                 1     469     469  F1.0
K32                 1     470     470  F1.0
K33                 1     471     471  F1.0
K34                 1     472     472  F1.0
K35                 1     473     473  F1.0
K36                 1     474     474  F1.0
K37                 1     475     475  F1.0
K38                 1     476     476  F1.0
K39                 1     477     477  F1.0
K40                 1     478     478  F1.0
K41                 1     479     479  F1.0
K42                 1     480     480  F1.0
K43                 1     481     481  F1.0
K44                 1     482     482  F1.0
K45                 1     483     483  F1.0
K46                 1     484     484  F1.0
K47                 1     485     485  F1.0
K48                 1     486     486  F1.0
K49                 1     487     487  F1.0
K50                 1     488     488  F1.0
K51                 1     489     489  F1.0
K52                 1     490     490  F1.0
K53                 1     491     491  F1.0
K54                 1     492     492  F1.0
K55                 1     493     493  F1.0
K56                 1     494     494  F1.0
K57                 1     495     495  F1.0
K58                 1     496     496  F1.0
K59                 1     497     497  F1.0
K60                 1     498     498  F1.0
K61                 1     499     499  F1.0
K62                 1     500     500  F1.0
K63                 1     501     501  F1.0
K64                 1     502     502  F1.0
K65                 1     503     503  F1.0
K66                 1     504     504  F1.0
K67                 1     505     505  F1.0
K68                 1     506     506  F1.0
K69                 1     507     507  F1.0
K70                 1     508     508  F1.0
K71                 1     509     509  F1.0
K72                 1     510     510  F1.0
K73                 1     511     511  F1.0
K74                 1     512     512  F1.0
K75                 1     513     513  F1.0
K76                 1     514     514  F1.0
K77                 1     515     515  F1.0
K78                 1     516     516  F1.0
K79                 1     517     517  F1.0
K80                 1     518     518  F1.0
K81                 1     519     519  F1.0
K82                 1     520     520  F1.0
K83                 1     521     521  F1.0
K84                 1     522     522  F1.0
K85                 1     523     523  F1.0
CD17                1     524     525  F2.0
L1                  1     526     526  F1.0
L2                  1     527     527  F1.0
L3                  1     528     529  F2.0
L4                  1     530     531  F2.0
L5                  1     532     532  F1.0
L6                  1     533     534  F2.0
L7                  1     535     535  F1.0
L8                  1     536     537  F2.0
L9                  1     538     539  F2.0
L10                 1     540     541  F2.0
L11                 1     542     542  F1.0
L12                 1     543     544  F2.0
L13                 1     545     546  F2.0
L14                 1     547     548  F2.0
L15                 1     549     549  F1.0
L16                 1     550     550  F1.0
L17                 1     551     551  F1.0
L18                 1     552     552  F1.0
L19                 1     553     553  F1.0
L20                 1     554     554  F1.0
L21                 1     555     555  F1.0
L22                 1     556     556  F1.0
L23                 1     557     557  F1.0
L24                 1     558     558  F1.0
L25                 1     559     560  F2.0
L26                 1     561     562  F2.0
L27                 1     563     563  F1.0
L28                 1     564     564  F1.0
L29                 1     565     565  F1.0
L30                 1     566     566  F1.0
L31                 1     567     567  F1.0
L32                 1     568     568  F1.0
L33                 1     569     569  F1.0
L34                 1     570     570  F1.0
L35                 1     571     571  F1.0
L36                 1     572     572  F1.0
L37                 1     573     573  F1.0
L38                 1     574     574  F1.0
L39                 1     575     575  F1.0
L40                 1     576     576  F1.0
L41                 1     577     577  F1.0
L42                 1     578     578  F1.0
L43                 1     579     579  F1.0
L44                 1     580     580  F1.0
L45                 1     581     581  F1.0
L46                 1     582     583  F2.0
L47                 1     584     584  F1.0
L48                 1     585     585  F1.0
L49                 1     586     586  F1.0
L50                 1     587     587  F1.0
L51                 1     588     589  F2.0
L52                 1     590     591  F2.0
L53                 1     592     592  F1.0
L54                 1     593     593  F1.0
L55                 1     594     594  F1.0
CD18                1     595     596  F2.0
M1                  1     597     597  F1.0
M2                  1     598     598  F1.0
M3                  1     599     599  F1.0
M4                  1     600     600  F1.0
M5                  1     601     601  F1.0
M6                  1     602     602  F1.0
M7                  1     603     603  F1.0
M8                  1     604     604  F1.0
M9                  1     605     605  F1.0
M10                 1     606     606  F1.0
M11                 1     607     607  F1.0
M12                 1     608     608  F1.0
M13                 1     609     609  F1.0
M14                 1     610     610  F1.0
M15                 1     611     611  F1.0
M16                 1     612     612  F1.0
M17                 1     613     613  F1.0
M18                 1     614     614  F1.0
M19                 1     615     615  F1.0
M20                 1     616     616  F1.0
M21                 1     617     617  F1.0
M22                 1     618     618  F1.0
M23                 1     619     619  F1.0
M24                 1     620     620  F1.0
M25                 1     621     621  F1.0
M26                 1     622     622  F1.0
M27                 1     623     623  F1.0
M28                 1     624     624  F1.0
M29                 1     625     625  F1.0
M30                 1     626     626  F1.0
M31                 1     627     627  F1.0
M32                 1     628     628  F1.0
M33                 1     629     629  F1.0
M34                 1     630     630  F1.0
M35                 1     631     631  F1.0
M36                 1     632     632  F1.0
M37                 1     633     633  F1.0
M38                 1     634     634  F1.0
M39                 1     635     635  F1.0
M40                 1     636     636  F1.0
M41                 1     637     637  F1.0
M42                 1     638     638  F1.0
M43                 1     639     639  F1.0
M44                 1     640     640  F1.0
M45                 1     641     641  F1.0
M46                 1     642     642  F1.0
M47                 1     643     643  F1.0
M48                 1     644     644  F1.0
M49                 1     645     645  F1.0
M50                 1     646     646  F1.0
M51                 1     647     647  F1.0
M52                 1     648     648  F1.0
M53                 1     649     649  F1.0
M54                 1     650     650  F1.0
M55                 1     651     651  F1.0
M56                 1     652     652  F1.0
M57                 1     653     653  F1.0
M58                 1     654     655  F2.0
M59                 1     656     656  F1.0
M60                 1     657     657  F1.0
M61                 1     658     658  F1.0
M62                 1     659     659  F1.0
M63                 1     660     660  F1.0
M64                 1     661     662  F2.0
M65                 1     663     663  F1.0
CD19                1     664     665  F2.0
N1                  1     666     666  F1.0
N2                  1     667     667  F1.0
N3                  1     668     668  F1.0
N4                  1     669     669  F1.0
N5                  1     670     670  F1.0
N6                  1     671     671  F1.0
N7                  1     672     672  F1.0
N8                  1     673     673  F1.0
N9                  1     674     674  F1.0
N10                 1     675     675  F1.0
N11                 1     676     676  F1.0
N12                 1     677     677  F1.0
N13                 1     678     678  F1.0
N14                 1     679     679  F1.0
N15                 1     680     680  F1.0
N16                 1     681     681  F1.0
N17                 1     682     682  F1.0
N18                 1     683     683  F1.0
N19                 1     684     684  F1.0
N20                 1     685     685  F1.0
N21                 1     686     686  F1.0
N22                 1     687     688  F2.0
N23                 1     689     690  F2.0
N24                 1     691     691  F1.0
N25                 1     692     692  F1.0
N26                 1     693     693  F1.0
N27                 1     694     695  F2.0
N28                 1     696     696  F1.0
N29                 1     697     697  F1.0
N30                 1     698     698  F1.0
N31                 1     699     699  F1.0
N32                 1     700     700  F1.0
N33                 1     701     702  F2.0
N34                 1     703     703  F1.0
N35                 1     704     704  F1.0
N36                 1     705     705  F1.0
N37                 1     706     706  F1.0
N38                 1     707     707  F1.0
N39                 1     708     708  F1.0
N40                 1     709     709  F1.0
N41                 1     710     710  F1.0
N42                 1     711     711  F1.0
N43                 1     712     712  F1.0
N44                 1     713     713  F1.0
N45                 1     714     714  F1.0
N46                 1     715     715  F1.0
N47                 1     716     716  F1.0
N48                 1     717     717  F1.0
N49                 1     718     718  F1.0
N50                 1     719     719  F1.0
N51                 1     720     720  F1.0
N52                 1     721     721  F1.0
N53                 1     722     723  F2.0
N54                 1     724     724  F1.0
N55                 1     725     727  F3.0
N56                 1     728     728  F1.0
N57                 1     729     729  F1.0
N58                 1     730     730  F1.0
N59                 1     731     731  F1.0
N60                 1     732     732  F1.0
N61                 1     733     733  F1.0
WT2                 1     734     741  F8.5
ncd01               1     742     743  F2.0
S1                  1     744     744  F1.0
S2                  1     745     746  F2.0
S3                  1     747     747  F1.0
S4                  1     748     748  F1.0
S5                  1     749     750  F2.0
S6                  1     751     752  F2.0
S7                  1     753     754  F2.0
S8                  1     755     756  F2.0
S9                  1     757     758  F2.0
S10                 1     759     760  F2.0
S11                 1     761     761  F1.0
S12                 1     762     763  F2.0
S13                 1     764     767  F4.0
S14                 1     768     769  F2.0
S15                 1     770     770  F1.0
S16                 1     771     771  F1.0
S17                 1     772     773  F2.0
S18                 1     774     775  F2.0
S19                 1     776     777  F2.0
S20                 1     778     778  F1.0
S21                 1     779     780  F2.0
S22                 1     781     784  F4.0
S23                 1     785     786  F2.0
S24                 1     787     787  F1.0
S25                 1     788     788  F1.0
S26                 1     789     790  F2.0
S27                 1     791     792  F2.0
S28                 1     793     794  F2.0
S29                 1     795     795  F1.0
S30                 1     796     797  F2.0
S31                 1     798     801  F4.0
S32                 1     802     803  F2.0
S33                 1     804     804  F1.0
S34                 1     805     805  F1.0
S35                 1     806     807  F2.0
CD04                1     808     809  F2.0
D1                  1     810     810  F1.0
D2                  1     811     811  F1.0
D3                  1     812     813  F2.0
D4                  1     814     814  F1.0
D5                  1     815     816  F2.0
D6                  1     817     817  F1.0
D7                  1     818     821  F4.0
D8                  1     822     822  F1.0
D9                  1     823     823  F1.0
D10                 1     824     824  F1.0
D11                 1     825     826  F2.0
D12                 1     827     828  F2.0
D13                 1     829     830  F2.0
D14                 1     831     832  F2.0
D15                 1     833     833  F1.0
D16                 1     834     834  F1.0
D17                 1     835     835  F1.0
D18                 1     836     836  F1.0
D19                 1     837     837  F1.0
D20                 1     838     838  F1.0
D21                 1     839     840  F2.0
D22                 1     841     841  F1.0
D23                 1     842     843  F2.0
D24                 1     844     844  F1.0
D25                 1     845     845  F1.0
D26                 1     846     847  F2.0
D27                 1     848     849  F2.0
D28                 1     850     850  F1.0
D29                 1     851     851  F1.0
D30                 1     852     852  F1.0
D31                 1     853     853  F1.0
D32                 1     854     854  F1.0
D33                 1     855     855  F1.0
D34                 1     856     858  F3.0
D35                 1     859     859  F1.0
D36                 1     860     862  F3.0
D37                 1     863     863  F1.0
D38                 1     864     866  F3.0
D39                 1     867     867  F1.0
D40                 1     868     870  F3.0
D41                 1     871     871  F1.0
D42                 1     872     874  F3.0
CD05                1     875     876  F2.0
E1                  1     877     877  F1.0
E2                  1     878     878  F1.0
E3                  1     879     879  F1.0
E4                  1     880     880  F1.0
E5                  1     881     881  F1.0
E6                  1     882     882  F1.0
E7                  1     883     883  F1.0
E8                  1     884     884  F1.0
E9                  1     885     885  F1.0
E10                 1     886     886  F1.0
E11                 1     887     887  F1.0
E12                 1     888     888  F1.0
E13                 1     889     889  F1.0
E14                 1     890     890  F1.0
E15                 1     891     891  F1.0
E16                 1     892     892  F1.0
E17                 1     893     893  F1.0
E18                 1     894     894  F1.0
E19                 1     895     895  F1.0
E20                 1     896     896  F1.0
E21                 1     897     897  F1.0
E22                 1     898     899  F2.0
E23                 1     900     901  F2.0
E24                 1     902     902  F1.0
E25                 1     903     904  F2.0
