,행정구역,2020년01월_계_총인구수,2020년02월_계_총인구수,2020년03월_계_총인구수,2020년04월_계_총인구수,2020년05월_계_총인구수,2020년06월_계_총인구수,2020년07월_계_총인구수,2020년08월_계_총인구수,2020년09월_계_총인구수,2020년10월_계_총인구수,2020년11월_계_총인구수,2020년12월_계_총인구수,2021년01월_계_총인구수,2021년02월_계_총인구수,2021년03월_계_총인구수,2021년04월_계_총인구수,2021년05월_계_총인구수,2021년06월_계_총인구수,2021년07월_계_총인구수,2021년08월_계_총인구수,2021년09월_계_총인구수,2021년10월_계_총인구수,2021년11월_계_총인구수,2021년12월_계_총인구수,2022년01월_계_총인구수,2022년02월_계_총인구수,2022년03월_계_총인구수,2022년04월_계_총인구수,2022년05월_계_총인구수,2022년06월_계_총인구수,2022년07월_계_총인구수,2022년08월_계_총인구수,2022년09월_계_총인구수,2022년10월_계_총인구수,2022년11월_계_총인구수,2022년12월_계_총인구수,2023년07월_계_총인구수,2023년08월_계_총인구수,2023년09월_계_총인구수,2023년10월_계_총인구수,2023년11월_계_총인구수,2023년12월_계_총인구수,2024년01월_계_총인구수,2024년02월_계_총인구수,2024년03월_계_총인구수,2024년04월_계_총인구수
40,부산광역시 수영구 (2650000000),"176,112","176,879","176,967","176,984","176,886","176,975","176,742","176,937","177,266","177,085","176,885","176,894","176,742","176,703","176,145","176,276","176,062","175,877","175,722","175,815","175,799","175,583","175,389","175,095","174,867","174,838","174,661","174,633","174,665","174,739","174,709","174,596","174,275","174,694","174,907","174,806","175,413","175,455","175,150","174,994","174,744","174,518","174,086","173,944","173,738","173,501"
41,부산광역시 사상구 (2653000000),"217,594","217,250","216,840","216,507","216,083","215,709","215,332","214,826","214,345","213,747","213,178","212,586","212,173","212,038","211,252","210,943","210,579","210,333","210,005","209,547","209,410","209,138","208,727","208,298","207,772","207,138","206,804","206,365","206,099","205,765","205,287","204,769","203,957","203,331","203,496","203,789","202,889","203,534","203,749","203,445","203,139","202,932","202,376","202,062","201,853","201,614"
42,부산광역시 기장군 (2671000000),"164,710","166,321","167,586","168,132","169,142","170,139","171,369","172,288","172,774","173,167","173,918","174,545","175,428","176,112","176,056","176,287","176,411","176,617","176,786","176,811","176,789","176,879","177,161","177,125","176,935","176,721","176,570","176,505","176,824","177,536","177,672","177,728","178,221","178,303","178,459","178,614","179,277","179,181","179,175","179,084","178,958","178,729","178,347","177,912","177,624","177,341"
43,대구광역시  (2700000000),"2,436,488","2,432,883","2,433,568","2,431,523","2,429,059","2,427,954","2,428,022","2,428,228","2,426,849","2,424,171","2,421,859","2,418,346","2,415,813","2,413,191","2,408,875","2,406,296","2,402,940","2,397,646","2,395,749","2,393,626","2,392,787","2,390,721","2,388,230","2,385,412","2,383,858","2,381,095","2,380,494","2,378,573","2,376,676","2,375,306","2,374,120","2,371,936","2,367,735","2,366,852","2,365,619","2,363,691","2,379,086","2,378,464","2,377,801","2,376,978","2,376,044","2,374,960","2,373,844","2,372,008","2,369,962","2,368,670"
44,대구광역시 중구 (2711000000),"77,282","77,151","77,136","76,955","76,880","76,984","77,062","77,120","77,030","76,849","76,727","76,547","76,382","76,159","75,647","75,366","75,133","74,727","74,433","74,125","74,032","74,682","74,793","74,791","74,786","74,710","75,704","77,842","78,703","78,984","79,014","78,923","78,768","79,241","79,722","80,199","85,296","86,210","86,714","87,387","87,998","89,064","89,685","90,242","90,561","90,953"
45,대구광역시 동구 (2714000000),"344,932","343,857","343,933","343,568","342,897","342,627","342,657","343,317","343,233","342,552","342,432","341,920","341,498","341,661","342,656","342,468","341,730","340,693","340,426","340,242","340,024","340,575","341,114","341,436","341,710","341,730","341,498","341,142","341,070","341,126","340,847","340,440","340,171","340,213","340,050","339,530","340,568","341,800","342,476","342,627","343,031","342,813","342,703","342,161","341,918","342,302"
46,대구광역시 서구 (2717000000),"174,803","174,389","174,042","173,807","173,278","172,802","172,657","172,465","171,947","171,576","171,060","170,700","170,383","170,005","169,432","169,022","168,704","167,773","167,270","166,878","166,406","165,862","165,208","164,528","164,127","163,588","163,042","162,325","161,790","161,542","161,928","161,802","161,169","160,802","160,343","159,827","159,603","159,255","159,896","161,149","163,028","164,088","164,513","164,734","164,457","164,069"
47,대구광역시 남구 (2720000000),"148,057","147,938","148,083","147,905","147,746","147,482","147,355","147,235","146,864","146,513","146,658","146,632","146,428","146,255","146,006","146,188","146,066","145,105","144,889","144,564","144,484","144,119","143,645","143,175","142,753","142,558","142,437","141,805","141,520","141,285","141,586","141,643","141,590","141,822","141,773","141,519","140,768","140,497","140,404","140,132","139,664","139,187","138,806","138,480","138,140","137,566"
48,대구광역시 북구 (2723000000),"437,189","436,530","436,847","436,863","437,566","438,608","439,432","439,690","440,500","440,832","440,736","440,263","439,906","439,218","438,365","438,248","437,892","437,333","437,083","436,827","437,146","436,499","436,567","437,008","437,023","436,613","437,284","436,386","435,869","435,131","434,250","433,551","432,558","432,087","431,703","430,912","425,718","424,831","423,657","422,571","420,972","419,624","418,563","417,347","416,725","416,439"
49,대구광역시 수성구 (2726000000),"428,770","428,729","428,777","428,125","427,436","426,919","426,611","426,437","425,949","425,639","424,947","424,314","424,112","423,937","422,759","421,840","420,820","419,979","420,048","419,837","419,536","418,833","418,014","417,097","416,706","416,496","415,829","415,694","415,306","414,917","414,439","413,675","412,775","412,302","411,794","411,553","407,697","407,190","406,915","406,802","407,004","407,331","408,260","409,114","408,943","408,899"
