측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2023-01-03,올림픽공원,0.0307,0.0182,0.79,0.0031,27.0,18.0
2023-01-03,자연사박물관,0.0277,0.0172,0.24,0.004,24.0,12.0
2023-01-04,강남구,0.0412,0.0111,0.61,0.0036,35.0,22.0
2023-01-04,강동구,0.0349,0.0089,0.55,0.0028,37.0,26.0
2023-01-04,강북구,0.0297,0.0165,0.69,0.0029,33.0,20.0
2023-01-04,강서구,0.0464,0.0095,0.8,0.0046,48.0,26.0
2023-01-04,관악구,0.0497,0.0068,0.73,0.0036,36.0,21.0
2023-01-04,광진구,0.0238,0.0092,0.76,0.0021,34.0,22.0
2023-01-04,구로구,0.0398,0.0081,0.51,0.0037,38.0,23.0
2023-01-04,금천구,0.0373,0.0112,0.54,0.0037,29.0,21.0
2023-01-04,노원구,0.0497,0.0097,0.75,0.0041,35.0,25.0
2023-01-04,도봉구,0.0333,0.0176,0.62,0.0026,28.0,20.0
2023-01-04,동대문구,0.039,0.013,0.67,0.0039,34.0,22.0
2023-01-04,동작구,0.0458,0.0077,0.61,0.0034,36.0,24.0
2023-01-04,마포구,0.0454,0.0087,0.73,0.0046,32.0,27.0
2023-01-04,서대문구,0.04,0.0121,0.96,0.0074,34.0,21.0
2023-01-04,서초구,0.0456,0.0075,0.53,0.0034,39.0,22.0
2023-01-04,성동구,0.0417,0.0093,0.62,0.0036,36.0,17.0
2023-01-04,성북구,0.0441,0.0107,0.83,0.004,31.0,21.0
2023-01-04,송파구,0.0449,0.008,0.69,0.0033,36.0,23.0
2023-01-04,양천구,0.0447,0.006,0.74,0.0034,38.0,28.0
2023-01-04,영등포구,0.0471,0.0079,0.71,0.0037,38.0,24.0
2023-01-04,용산구,0.0372,0.0104,0.64,0.0037,33.0,24.0
2023-01-04,은평구,0.032,0.0129,0.8,0.0038,31.0,17.0
2023-01-04,종로구,0.0335,0.0178,0.6,0.0037,33.0,25.0
2023-01-04,중구,0.0433,0.0168,0.68,0.0035,35.0,29.0
2023-01-04,중랑구,0.0409,0.0087,0.62,0.0029,32.0,23.0
2023-01-04,강남대로,0.0455,0.0056,0.93,0.0048,39.0,24.0
2023-01-04,강변북로,0.0485,0.0063,0.8,0.0031,39.0,26.0
2023-01-04,공항대로,0.0483,0.0062,0.78,0.0036,42.0,26.0
2023-01-04,도산대로,0.0441,0.0073,0.7,0.0041,40.0,24.0
2023-01-04,동작대로,0.0498,0.0077,0.76,0.0036,44.0,25.0
2023-01-04,시흥대로,0.0502,0.0066,0.72,0.0042,33.0,16.0
2023-01-04,신촌로,0.051,0.0062,0.85,0.0036,43.0,29.0
2023-01-04,영등포로,0.0505,0.0048,0.83,0.0039,39.0,26.0
2023-01-04,정릉로,0.0482,0.0065,0.81,0.0036,39.0,25.0
2023-01-04,종로,0.0432,0.0099,0.76,0.0041,34.0,19.0
2023-01-04,천호대로,0.0482,0.006,0.77,0.0037,38.0,23.0
2023-01-04,청계천로,0.0386,0.0091,0.73,0.0038,38.0,23.0
2023-01-04,한강대로,0.0455,0.0111,0.78,0.0034,42.0,21.0
