구분,자치구명,법정동명,건물유형,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월
가스,송파구,오금동, 단독주택 ,10666609,7934623,5564195,2874403,1731643,1315593,1092724,1083463,1083463,1806355,3883729,6315309
가스,송파구,잠실동, 공동주택 ,49533911,40278994,28357178,15303335,10059636,8561454,8296150,7827196,7827196,10271432,20076984,30423238
가스,송파구,잠실동, 단독주택 ,21085734,16282834,11097290,5467544,3180479,2332661,1996094,1895078,1893071,3247160,7633721,12755182
가스,송파구,장지동, 공동주택 ,36350050,29618083,20051821,11842878,7564967,6784396,5128831,6221899,6221899,7389947,15001683,22915887
가스,송파구,풍납동, 공동주택 ,42112844,32714259,23125769,11589419,7034041,4891700,4332339,4244915,4244915,6248475,13912850,23282929
가스,송파구,풍납동, 단독주택 ,32600282,26179288,18206533,8881605,4770852,3185561,2638221,2523033,2523033,4193829,10490621,16884761
가스,양천구,목동, 공동주택 ,129297796,85558984,55900924,28858520,23444925,17205089,18374264,18918221,18918221,40735528,63633302,125014685
가스,양천구,목동, 단독주택 ,43169410,28143601,17209263,8617966,5553013,4422352,4116714,4949830,4947485,11509826,19813622,41211779
가스,양천구,신월동, 공동주택 ,208850149,154467552,96195380,49609203,30160002,24111256,20939249,25386971,25386971,47812617,88433318,177753954
가스,양천구,신월동, 단독주택 ,62316125,40581667,25028014,12578795,7627363,5973366,5402089,6820929,6820929,15465802,27993684,57761328
가스,양천구,신정동, 공동주택 ,110826305,86179177,60172482,31786929,21013828,18243723,15883884,17407650,17405600,22927912,44395687,79214362
가스,양천구,신정동, 단독주택 ,53062602,39393021,26787943,12400647,7357543,5468489,4839622,5431926,5430816,8845656,19767718,38319635
가스,영등포구,당산동, 공동주택 ,16368806,9585963,5900545,3043975,2166942,1735247,1742224,1532542,1532542,4251408,6717926,14946510
가스,영등포구,당산동, 단독주택 ,296173,172746,102741,52902,30852,22403,20665,28975,28975,74033,132810,265096
